Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes
"MULTILINESTRING ((-74.01200779699997 40.67574360700007, -74.01060446499997 40.67479647000005))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Brooklyn,Abrian Gonzalez Place,Dikeman Street,Male,"Abrian Gonzalez was a natural born leader that cared for and respected all kinds of people. He attended P.S. 15, as a youth, where he was loved and praised by teachers and students alike. He inspired the other students to stay away from crime and drugs.",Between Dwight Street and Richards Street,11231,Gonzalez,
"MULTILINESTRING ((-73.77710690399994 40.67964934400004, -73.77554317599999 40.68015176400007))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Queens,Officer John Scarangella Way,Eastbound side of Baisley Boulevard,Male,Officer John Scarangella was a member of the New York City Police Department for twelve years and was killed in the line of duty when he and his partner stopped a van that fit the description of a vehicle wanted in connection with several burglaries in t,Between 166th Street and 168th Street,11434,Comrie,
"MULTILINESTRING ((-73.89088206199995 40.82856865400004, -73.89090217799998 40.82688664700004))",Int. No. 388,07/09/2014,2014,2014/034,Street,Bronx,Dominican Sisters of Sparkill Place,Hoe Avenue,Group,This co-naming will commemorate the Dominican Sisters of Sparkill who opened St. John Chrysostom School in 1914.  The school is celebrating 100 years of service.,Between East 167th Street and Home Street,10459,Arroyo,
"MULTILINESTRING ((-73.93858509799998 40.583968139000035, -73.93712776499996 40.58402245900004))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Brooklyn,Warren L. Samuels Way,Emmons Avenue,Male,"Warren L.  Samuels was born on September 20, 1940, to Morris and Bessie Samuels, in Crown Heights, Brooklyn.  He was a product of the New York City Public School system attending Old Primary School 192, Public School 206, James Madison High School and, f",between Nostrand Avenue and Haring Street,11235,Nelson,
"MULTILINESTRING ((-73.81834867799995 40.75378336500006, -73.81668839099996 40.75230011100007))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Queens,Ganesh Temple Street,Browne Street,Group,"The Hindu Temple Society of North America, aka the Ganesh Temple, has served the Flushing, Queens community for over 40 years. The temple is among the earliest – if not the first - Hindu Temples in North America. Built in the traditional architectural",Between Holly Avenue and 45th Avenue,11355,Koo,
"MULTILINESTRING ((-73.93784545799997 40.803671577000046, -73.93643580799994 40.80308504100003))",Int. No. 457,12/05/2006,2006,2006/050,Street,Manhattan,B.C. Joseph Marchbanks Way,East 124th Street,Male,Battalion Chief Joseph Marchbanks was a FDNY fire fighter who died during the September 11th tragedy and had served the community of East Harlem for a number of years. He grew up in the Inwood section of Manhattan. He later married and had two children.,Between Lexington and 3rd Avenues,10035,Viverito,
"MULTILINESTRING ((-74.08860368499995 40.64532196700003, -74.08755225899995 40.64355381100006, -74.08752650999998 40.64335517500007, -74.08768958799999 40.64208519700003))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Staten Island,Pope John Paul II Avenue,York Avenue,Male,"Pope John Paul II born Karol Józef Wojtyła reigned as pope of the Catholic Church for almost 27 years, from 16 October 1978 until his death, making his the second-longest pontificate (or the third-longest, as enumerated by Roman Catholic tradition).  H",Between Fillmore Street and Carlyle Street,10301,McMahon,
"MULTILINESTRING ((-73.97174480399997 40.727037446000054, -73.97158874899998 40.728038980000065, -73.97148633699999 40.72843441500004, -73.97142880599995 40.72880363100006, -73.97156192599994 40.729415603000064, -73.97204911299997 40.730078958000036, -73.97222345699998 40.73019259600005, -73.97309493099993 40.73088236700005))",Int. No. 84,07/29/2002,2002,2002/019,Street,Manhattan,Captain Patrick J. Brown Walk,,Male,"The following biographical information was provided by New York City Fire Department Press Office. 

Captain Patrick J. Brown, age 48, of Ladder Company 3, was a twenty-three year veteran of the New York City Fire Department (FDNY). He was one of the mos",a walkway located within East River Park between East 14th Street and East 18th Street,10003,Moskowitz and Golden,
"MULTILINESTRING ((-73.98517097099995 40.670326095000064, -73.98304129699994 40.669304828000065))",Int. No.  1631,08/23/2019,2019,2019/158,Street,Brooklyn,Joe and Flo Leopoldi Way,7th Street,Male/Female,"Joe (August 18, 1931 – December 5, 1989) and Flo (September 19, 1935 – December, 19, 2018) Leopoldi were a Brooklyn born and raised, hard-working, compassionate couple who had a positive presence in, and impact on the Park Slope Community in Brooklyn",Between 5th Avenue and 6th Avenue,11215,Lander,
"MULTILINESTRING ((-73.90130594699997 40.71544623300008, -73.90021716899997 40.715970294000044, -73.89929946999996 40.71641200500005, -73.89824889899995 40.716917669000054))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Queens,George Gibbons Jr. Way,60th Drive,Male,"George Gibbons Jr. was very active in his community.  He organized a team every year to raise money for breast cancer awareness with the American Cancer Society, supported local schools, churches, fundraising events, local softball teams and both the Mon",Between Fresh Pond Road and Mt. Olivet Crescent,11378,Crowley,
"MULTILINESTRING ((-73.94952223399997 40.80695102800007, -73.94710824499998 40.805944038000064))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Manhattan,Mother Clara Hale Street,West 122nd Street,Female,"Mrs. Clara Hale better known as “Mommy” Hale was considered a savior to many. Born in April 1 1905, she was raised to be a nurturing, loving, and comforting woman. In 1940, she fostered children in her five-room apartment. As problems with the drug a","between Malcolm X Boulevard and Adam Clayton Powell, Jr. Boulevard",10027,Perkins,
"MULTILINESTRING ((-73.94185823999999 40.82293536100008, -73.94145590899996 40.82348947200006))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Manhattan,Manchild Way,Frederick Douglas Boulevard,Male,"This information is taken from an essay by Clarence Page.  It is located at http://www.pbs.org/newshour/essays/jan-june02/poverty_5-06.html.  

In 1965, Claude Brown gave poverty another face, a big city face, with his autobiographical novel Manchild in",Between 145th Street   and 146th Street,10039,Jackson,
"MULTILINESTRING ((-73.94888462199998 40.80823000300006, -73.94922123899994 40.80776001800007))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Manhattan,Sugar Ray Robinson Way,"Adam Clayton Powell, Jr. Boulevard",Male,"Sugar Ray Robinson was born in Ailey, Georgia, and moved to New York with his family when he was a teenager to escape the prevalent prejudice in the South. It was in a Harlem gym that he was first introduced to boxing.  When his future coach George Gainf",Between 123rd Street and 124th Street,10027,Dickens,
"MULTILINESTRING ((-73.92210238999996 40.67970190400007, -73.92207300099994 40.67955879200008, -73.92204361099994 40.679415680000034, -73.92198732899993 40.679141610000045, -73.92173698899995 40.67892463800007))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Brooklyn,Ingram and Geneva Montgomery Way,Ralph Avenue,Male/Female,Ingram and Geneva Montgomery were very involved in the Bedford-Stuyvesant community.  They were one of the first families to move into the Brevoort Houses after it opened.  Ingram was the first tenant patrol captain and served at his post for over twenty,Between Sumpter Street and Fulton Street,11233,Mealy,
"MULTILINESTRING ((-73.89123320499993 40.67632140300003, -73.89097889199996 40.67529676200007))",Int. No. 480-A,08/14/2022,2022,2022/081,Street,Brooklyn,Pujari Basdeo Mangal Way,Van Siclen Avenue,Male,"Pujari (Hindu Priest) Basdeo Mangal was born at Fyrish Road, Corentyne Berbice, Guyana. Early in his life, he decided to dedicate himself to worship and service within the Mariamman Hindu tradition. At the age of fifteen, Pujari Mangal became a spiritual",Between Atlantic Avenue and Liberty Avenue,11207,Nurse,
"MULTILINESTRING ((-73.89851022199997 40.834659275000035, -73.89894473999993 40.83396928900004))",Int. No. 1825,01/19/2020,2020,2020/026,Street,Bronx,King Charles Unicycle Troupe Way,Clinton Avenue,Male,"This co-naming will honor Jerry King (July 18, 1908 – May 26, 1996) who served in the United States Army from 1942 until 1945 where he earned the Medal of Good Conduct. After seeing a circus as a kid, he became fascinated with the unicycle. He began le",Between East 170th Street and Crotona Park South,10456,Gibson,
"MULTILINESTRING ((-73.93993367199994 40.83446226500007, -73.93858451999995 40.83390012900003))",Int. No. 877-A,12/29/2008,2008,2008/064,Street,Manhattan,Count Basie Place,160th Street,Male,"Count Basie lived for part of his life at 555 Edgecombe Avenue at 160th Street, was a musician and band leader of world renown.  Mr. Basie’s prominence, which began in the big band era of the 1930’s and ‘40’s, continued up until the time of his d",Between St. Nicholas Avenue and Edgecombe Avenue,10031,Jackson,
"MULTILINESTRING ((-74.01386616499997 40.63810428900007, -74.01186255499994 40.63689934300004))",Int. No. 931-A,04/20/2009,2009,2009/025,Street,Brooklyn,Jason Ruiz Way,60th Street,Male,Jason Ruiz was an FDNY Emergency Medical Technician (EMT) whose brave actions included rescuing a woman who fell on the subway tracks at Marcy and Myrtle Avenues.  He was awarded a medal for meritorious acts in 2006 and 2007.,Between 6th Avenue and 7th Avenue,11220,Gonzalez,
"MULTILINESTRING ((-73.79212920299994 40.68061024600007, -73.79268710199995 40.682546649000074, -73.79254226299997 40.68422265000004, -73.79276220399998 40.68487351300007, -73.79382435899998 40.686199626000075))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Queens,"Thomas White, Jr. Blvd.",Stuphin Boulevard,Male,"Thomas White Jr. was a long-time member of the New York City Council representing the 28th District in Queens.  He was chairman of the Economic Development Committee and co-founder and executive director of J-CAP, one of the largest substance abuse treat",Between Foch Boulevard and 114th Avenue,11434,Wills,
"MULTILINESTRING ((-73.86820746299998 40.67584082900004, -73.86762274099993 40.673529924000036))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Brooklyn,"Kenneth S. Jackson, Jr. Blvd.",Autumn Avenue,Male,"Kenneth Jackson Jr. was very involved in his church as well as his community.  He was involved with the Junior Usher Board, Boy Scouts, Buds of Promise and visited many nursing homes.  He qualified for the New York City Gifted Program at PS 159 and later",Between Pitkin Avenue and Sutter Avenue,11208,Barron,
"MULTILINESTRING ((-73.98126693099994 40.75278321300004, -73.97831918299994 40.751533606000066))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Manhattan,Library Way,East 41st Street,Group,"During calendar year 2003, Grand Central Partnership has exciting plans to transform East 41st Street between Fifth Avenue and Park Avenue into a promenade to the majestic New York Public Library’s Humanities and Social Services Library.  With the assi",Between 5th Avenue and Park Avenue,10018,"Miller, Quinn and Moskowitz",
"MULTILINESTRING ((-73.88885519199994 40.83366277700003, -73.88974300299998 40.832189424000035))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Bronx,Rev. Dr. Fletcher C. Crawford Way,Hoe Avenue,Male,"Fletcher Crawford served in the United States Army during WWII and later received his Ministerial License on May 16, 1947.  He became the assistant pastor of Union Grove Missionary Baptist Church and led a congregation of over 500 hundred members for 50",Between Jennings Street and East 172nd Street,10460,Salamanca,
"MULTILINESTRING ((-73.86834951799995 40.67643307900005, -73.86762532199998 40.67354039300005))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Brooklyn,"Kenneth Jackson, Jr. Blvd.",Autumn Avenue,Male,"Kenneth Jackson Jr. was very involved in his church as well as his community.  He was involved with the Junior Usher Board, Boy Scouts, Buds of Promise and visited many nursing homes.  He qualified for the NYC Gifted Program at PS 159 and later enrolled",Between Conduit Avenue and Sutter Avenue,11208,Barron,
"MULTILINESTRING ((-73.89684918199998 40.834392586000035, -73.89561238599998 40.83498335500008, -73.89523985699998 40.83534187200007))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Bronx,Juanita Hamilton Place,Crotona Park East,Female,"Juanita Hamilton was employed at Labor Bathgate Housing Organization as a community organizer.  In 1968, due to her community involvement, she was voted as the secretary for the 48th precinct community council in which she served for 7 years.  In 1969, s",Between Wilkins Avenue and Prospect Avenue,10457,Gibson,
"MULTILINESTRING ((-73.95866625299993 40.66599104900007, -73.95929388999997 40.66424948300005, -73.95969622099994 40.66346820500007))",Int. No. 761-A,03/07/2012,2012,2012/014,Street,Brooklyn,Reginald Nero’s Way,McKeever Place,Male,Reginald Nero was a guiding force in the lives of many young men and women in Brooklyn for over 62 years.  He was one of the founders of Medgar Evers College and served on the Medgar Evers College Community Council with Dr. Betty Shabazz.  He was also a,Between Montgomery Street and Empire Boulevard,11225,James,
